Completed,Difference,Fate,Hull_Number,Laid_Down,Launched,Name,Namesake,Shipyard,Type
1943-10-25,33.0,"Sold private 1947, scrapped 1968",1806,1943-09-22,1943-10-15,"Lewis Emery, Jr","Lewis Emery, Jr.",Bethlehem-Fairfield Shipyards,Cargo
1943-10-25,185.0,"To U.S. Navy as Luna (AKS-7), scrapped 1965",1528,1943-04-23,1943-09-30,Harriet Hosmer,Harriet Hosmer,J A Jones Construction Co (Panama City),Cargo
1943-10-25,32.0,"Sold private 1964, converted to floating warehouse in Nikishka AK",1807,1943-09-23,1943-10-16,Harold L Winslow,Harold L. Winslow,Bethlehem-Fairfield Shipyards,Cargo
1943-10-26,31.0,"Mined in Trieste 1945, refloated and scrapped 1949",2113,1943-09-25,1943-10-18,William J Palmer,William J. Palmer,Permanente Metals Co Yard,Cargo
1943-10-26,27.0,"Mined off Dubrovnik 1945, repaired, sold private 1949, scrapped 1971",2253,1943-09-29,1943-10-18,Abbot L Mills,Abbott L. Mills,Oregon Shipbuilding Corp,Cargo
1943-10-26,81.0,"Sold private 1947, scrapped 1970",1208,1943-08-06,1943-10-14,Grant Wood,Grant Wood,St Johns River Shipbuilding Co,Cargo
1943-10-26,52.0,"Sold private 1947, collided with USS Von Steuben (SSBN-632) 1968, sunk",1889,1943-09-04,1943-10-05,Alan Seeger ,Alan Seeger,California Shipbuilding Corp,Tanker
1943-10-26,73.0,Mined and lost off Ostend 1945,2189,1943-08-14,1943-10-10,Robert L Vann,Robert L. Vann,New England Shipbuilding Corp,Cargo
1943-10-26,67.0,Scrapped 1961,1064,1943-08-20,1943-10-12,Joseph Habersham,Joseph Habersham,Southeastern Shipbuilding Corp,Cargo
1943-10-27,32.0,"Sold private 1947, wrecked and scrapped 1960",1808,1943-09-25,1943-10-17,Samsylvan,Samsylvan,Bethlehem-Fairfield Shipyards,Cargo
1943-10-27,28.0,Scrapped 1961,2170,1943-09-29,1943-10-17,Henry H Blood,Henry H. Blood,Permanente Metals Co Yard,Cargo
1943-10-27,26.0,Scrapped 1962,1812,1943-10-01,1943-10-23,Samokla,Samokla,Bethlehem-Fairfield Shipyards,Cargo
1943-10-27,36.0,"To U.S. Navy as Cebu (ARG-6), scrapped 1973",1805,1943-09-21,1943-10-18,Cebu,Francis P. Duffy,Bethlehem-Fairfield Shipyards,Cargo
1943-10-27,49.0,"Sold private 1947, scrapped 1972",1890,1943-09-08,1943-10-09,Horace See,Horace See,California Shipbuilding Corp,Tanker
1943-10-28,28.0,Scrapped 1965,2171,1943-09-30,1943-10-19,John Swett,John Swett,Permanente Metals Co Yard,Cargo
1943-10-28,62.0,Scrapped 1966,1957,1943-08-27,1943-10-15,William M Rayburn,William M. Rayburn,Todd Houston Shipbuilding Corp,Cargo
1943-10-28,28.0,"Sold private 1947, wrecked and scrapped 1966",2254,1943-09-30,1943-10-20,Albert A Michelson,Albert A. Michelson,Oregon Shipbuilding Corp,Cargo
1943-10-28,32.0,Mined and lost in the Schelde Estuary 1945,1809,1943-09-26,1943-10-17,Samvern,Samvern,Bethlehem-Fairfield Shipyards,Cargo
1943-10-29,27.0,"Sold private 1947, wrecked and scrapped 1962",2172,1943-10-02,1943-10-21,Vernon L Parrington,Vernon L. Parrington,Permanente Metals Co Yard,Cargo
1943-10-29,27.0,Scrapped 1961,2255,1943-10-02,1943-10-22,Edmund G Ross,Edmund G. Ross,Oregon Shipbuilding Corp,Cargo
1943-10-29,29.0,"Sold private 1947, scrapped 1967",2114,1943-09-30,1943-10-22,Peter Cooper Hewitt,Peter Cooper Hewitt,Permanente Metals Co Yard,Cargo
1943-10-29,49.0,"Sold private 1947, scrapped 1967",1891,1943-09-10,1943-10-11,Carlton Ellis ,Carleton Ellis,California Shipbuilding Corp,Tanker
1943-10-29,32.0,"Sold private 1947, sunk 1965",1810,1943-09-27,1943-10-19,Samyork,W. Walter Husband,Bethlehem-Fairfield Shipyards,Cargo
1943-10-30,27.0,"Sold private 1947, wrecked and scrapped 1966",2173,1943-10-03,1943-10-22,George K Fitch,George K. Fitch,Permanente Metals Co Yard,Cargo
1943-10-30,59.0,"Sold private 1947, scrapped 1962",826,1943-09-01,1943-10-19,Samtucky,William Blackstone,New England Shipbuilding Corp,Cargo
1943-10-30,59.0,"Sold private 1947, sunk 1967",1958,1943-09-01,1943-10-19,L H McNelly,L. H. McNelly,Todd Houston Shipbuilding Corp,Cargo
1943-10-30,61.0,Scrapped 1972,1065,1943-08-30,1943-10-18,Joseph H Martin,Joseph H. Martin,Southeastern Shipbuilding Corp,Cargo
1943-10-30,91.0,Scrapped 1971,1501,1943-07-31,1943-10-22,Henry W Grady,Henry W. Grady,J A Jones Construction Co (Brunswick),Cargo
1943-10-30,31.0,"Sold private 1947, wrecked and scrapped 1967",1811,1943-09-29,1943-10-21,U S O,U.S.O.,Bethlehem-Fairfield Shipyards,Cargo
1943-10-30,96.0,"Sold private 1947, scrapped 1962",1743,1943-07-26,1943-09-16,Irwin Russell ,Irwin Russell,Delta Shipbuilding Co,Tanker
1943-10-31,46.0,"Sold private 1947, scrapped 1969",1894,1943-09-15,1943-10-15,Harvey W Wiley ,Harvey W. Wiley,California Shipbuilding Corp,Tanker
1943-10-31,28.0,Scrapped 1972,2115,1943-10-03,1943-10-25,Ethan A Hitchcock,Ethan A. Hitchcock,Permanente Metals Co Yard,Cargo
1943-10-31,48.0,"To Russia 1943 as Apsherson, returned 1944, later Hess Bunker, Aegeus, Andros Eagle, Evinos, Vari, Syra and Halla, scrapped 1972",1892,1943-09-13,1943-10-13,Charlotte P Gilman ,Charlotte P. Gilman,California Shipbuilding Corp,Tanker
1943-10-31,48.0,"Sold private 1947, scrapped 1971",1893,1943-09-13,1943-10-14,Morton Prince,Morton Prince,California Shipbuilding Corp,Tanker
1943-10-31,91.0,"Sold private 1948, scrapped 1969",1917,1943-08-01,1943-09-14,Joseph Goldberger ,Joseph Goldberger,Delta Shipbuilding Co,Tanker
1943-10-31,26.0,Scrapped 1971,2174,1943-10-05,1943-10-24,Francis A Wardwell,Francis A. Wardwell,Permanente Metals Co Yard,Cargo
1943-10-31,27.0,"Mined off Leyte 1945, scrapped 1949",2256,1943-10-04,1943-10-23,Peter White,Peter White,Oregon Shipbuilding Corp,Cargo
1943-10-31,25.0,Scrapped 1961,2175,1943-10-06,1943-10-25,Kate Douglas Wiggin,Kate Douglas Wiggin,Permanente Metals Co Yard,Cargo
1943-10-31,60.0,Scrapped 1972,2193,1943-09-01,1943-10-21,Omar E Chapman,Omar E. Chapman,New England Shipbuilding Corp,Cargo
1943-11-02,27.0,Scrapped 1961,2257,1943-10-06,1943-10-25,J Warren Keifer,J. Warren Keifer,Oregon Shipbuilding Corp,Cargo
1943-11-04,27.0,"Sold private 1947, sunk 1965",2258,1943-10-08,1943-10-27,William H Dall,William H. Dall,Oregon Shipbuilding Corp,Cargo
1943-11-04,75.0,"Torpedoed in the English Channel 1944, repaired, sold private, scrapped 1970",1209,1943-08-21,1943-10-23,Edward M House,Edward M. House,St Johns River Shipbuilding Co,Cargo
1943-11-05,32.0,"To U.S. Navy as Indus (AKN-1), scrapped 1967",1814,1943-10-04,1943-10-29,Indus,Theodore Roosevelt,Bethlehem-Fairfield Shipyards,Cargo
1943-11-05,28.0,"Sold private 1947, scrapped 1969",2176,1943-10-08,1943-10-27,David Hewes,David Hewes,Permanente Metals Co Yard,Cargo
1943-11-05,33.0,"Sold private 1947, scrapped 1968",1813,1943-10-03,1943-10-25,Samlouis,Samlouis,Bethlehem-Fairfield Shipyards,Cargo
1943-11-06,27.0,Scrapped 1970,2177,1943-10-10,1943-10-28,Ferdinand A Silcox,Ferdinand A. Silcox,Permanente Metals Co Yard,Cargo
1943-11-06,28.0,"Sold private 1947, wrecked and scrapped 1957",2259,1943-10-09,1943-10-29,James H Lane,James H. Lane,Oregon Shipbuilding Corp,Cargo
1943-11-06,60.0,Wrecked and lost in the Seine Estuary 1945,1959,1943-09-07,1943-10-23,Lucien B Maxwell,Lucien B. Maxwell,Todd Houston Shipbuilding Corp,Cargo
1943-11-07,52.0,"Sold private 1947, scrapped 1967",1895,1943-09-16,1943-10-17,John H Marion,John H. Marion,California Shipbuilding Corp,Tanker
1943-11-07,26.0,"Sold private 1947, sunk 1966",2178,1943-10-12,1943-10-30,Sara Teasdale,Sara Teasdale,Permanente Metals Co Yard,Cargo
1943-11-08,33.0,"Sold private 1947, scrapped 1967",1815,1943-10-06,1943-10-31,Samois,Samuel M. Ralston,Bethlehem-Fairfield Shipyards,Cargo
1943-11-08,28.0,"Sold private 1947, scrapped 1968",2260,1943-10-11,1943-10-30,William D Hoard,William D. Hoard,Oregon Shipbuilding Corp,Cargo
1943-11-08,52.0,"Sold private 1947, scrapped 1969",1896,1943-09-17,1943-10-18,John P Altgeld,John P. Altgeld,California Shipbuilding Corp,Tanker
1943-11-08,63.0,"Sold private 1947, scrapped 1966",1066,1943-09-06,1943-10-28,Robert Fechner,Robert Fechner,Southeastern Shipbuilding Corp,Cargo
1943-11-08,68.0,Scrapped 1967,2194,1943-09-01,1943-10-21,George Popham,George Popham,New England Shipbuilding Corp,Cargo
1943-11-09,35.0,"Sold private 1947, wrecked 1948, declared total loss but repaired, sunk 1966",2116,1943-10-05,1943-10-27,Mary Bickerdyke,Mary Bickerdyke,Permanente Metals Co Yard,Cargo
1943-11-09,32.0,Mined and scuttled in the Schelde 1944,1816,1943-10-08,1943-11-01,Samsip,Samsip,Bethlehem-Fairfield Shipyards,Cargo
1943-11-09,27.0,Scrapped 1961,2179,1943-10-13,1943-10-31,James King,James King,Permanente Metals Co Yard,Cargo
1943-11-09,57.0,"Sold private 1947, scrapped 1959",2190,1943-09-13,1943-10-31,Samakron,Jeremiah Chaplin,New England Shipbuilding Corp,Cargo
1943-11-10,27.0,"Damaged in collision 1945, repaired, sold private 1950, scrapped 1976",2180,1943-10-14,1943-11-02,R F Peckham,R. F. Peckham,Permanente Metals Co Yard,Cargo
1943-11-10,28.0,Scrapped 1965,2261,1943-10-13,1943-11-01,Francis W Parker,Francis W. Parker,Oregon Shipbuilding Corp,Cargo
1943-11-11,89.0,Scrapped 1967,1502,1943-08-14,1943-10-30,James A Wetmore,James A. Whetmore,J A Jones Construction Co (Brunswick),Cargo
1943-11-11,58.0,Scrapped 1971,1960,1943-09-14,1943-10-28,Albert S Burleson,Albert S. Burleson,Todd Houston Shipbuilding Corp,Cargo
1943-11-11,67.0,"Sold private 1947, wrecked 1965, declared total loss, scrapped",1210,1943-09-05,1943-10-31,Harvey Cushing,Harvey Cushing,St Johns River Shipbuilding Co,Cargo
1943-11-12,120.0,"Sold private 1950, scrapped 1968",1744,1943-07-15,1943-09-02,Henry L Ellsworth ,Henry L. Ellsworth,Delta Shipbuilding Co,Tanker
1943-11-12,34.0,"Sold private 1947, scrapped 1968",1817,1943-10-09,1943-11-05,Samsette,Samsette,Bethlehem-Fairfield Shipyards,Cargo
1943-11-12,28.0,Scrapped 1961,2519,1943-10-15,1943-11-03,Horace V White,Horace V. White,Oregon Shipbuilding Corp,Cargo
1943-11-12,34.0,"Sold private 1947, scrapped 1967",2117,1943-10-09,1943-10-29,William W Campbell,William W. Campbell,Permanente Metals Co Yard,Cargo
1943-11-12,55.0,"To Russia 1944 as Byelgorod, returned 1946, later Morris Hess, Palatiani, Andros Pearl, Ilissos, Elena and Orient Importer, scrapped 1969",1897,1943-09-18,1943-10-19,Byelgorod ,Paul Dunbar,California Shipbuilding Corp,Tanker
1943-11-12,27.0,Scrapped 1962,2181,1943-10-16,1943-11-04,Peter Trumble Rowe,Peter Trimble Rowe,Permanente Metals Co Yard,Cargo
1943-11-13,27.0,"Sold private 1947, scrapped 1972",2182,1943-10-17,1943-11-05,Keith Vawter,Keith Vawter,Permanente Metals Co Yard,Cargo
1943-11-13,55.0,"To Russia 1944 as Maikop, returned 1946, later Amberstar, Elmira, Pontos and Samuel S., wrecked and lost 1969",1898,1943-09-19,1943-10-21,Thomas H Gallaudet,Thomas H. Gallaudet,California Shipbuilding Corp,Tanker
1943-11-14,29.0,Scrapped 1969,2520,1943-10-16,1943-11-05,Elisha P Ferry,Elisha P. Ferry,Oregon Shipbuilding Corp,Cargo
1943-11-15,61.0,"Sold private 1947, scrapped 1967",2196,1943-09-15,1943-11-05,Samphill,Barrett Wendell,New England Shipbuilding Corp,Cargo
1943-11-15,33.0,Scrapped 1969,2118,1943-10-13,1943-10-30,Michael C Kerr,Michael C. Kerr,Permanente Metals Co Yard,Cargo
1943-11-15,35.0,"Sold private 1947, scrapped 1971",1819,1943-10-11,1943-11-08,Samoine,Samoine,Bethlehem-Fairfield Shipyards,Cargo
1943-11-15,36.0,"Sold private 1947, scrapped 1973",1818,1943-10-10,1943-11-06,Charles Scribner,Charles Scribner,Bethlehem-Fairfield Shipyards,Cargo
1943-11-15,99.0,"Sold private 1948, scrapped 1969",1916,1943-08-08,1943-09-25,Andrew A Humphreys ,Andrew A. Humphreys,Delta Shipbuilding Co,Tanker
1943-11-15,27.0,"Sold private 1947, scrapped 1972",2183,1943-10-19,1943-11-07,James G Maguire,James G. Maguire,Permanente Metals Co Yard,Cargo
1943-11-16,29.0,"Sold private 1947, scrapped 1968",2521,1943-10-18,1943-11-06,Lucius Fairchild,Lucius Fairchild,Oregon Shipbuilding Corp,Cargo
1943-11-16,26.0,Defied scuttling and sunk 1967,2184,1943-10-21,1943-11-09,Robert Louis Stevenson,Robert Louis Stevenson,Permanente Metals Co Yard,Cargo
1943-11-16,56.0,"Wrecked 1946, sunk as target 1947",1899,1943-09-21,1943-10-24,Schuyler Colfax,Schuyler Colfax,California Shipbuilding Corp,Tanker
1943-11-17,58.0,"Damaged by a Linsen boat off Normandy 1944, scrapped 1949",2191,1943-09-20,1943-11-07,Samlong,Elias Hasket Derby,New England Shipbuilding Corp,Cargo
1943-11-17,103.0,"Sold private 1948, scrapped 1969",1746,1943-08-06,1943-09-23,William Crompton,William Crompton,Delta Shipbuilding Co,Tanker
1943-11-17,82.0,"Sold private 1951, declared total loss 1967",1922,1943-08-27,1943-10-09,Eliza Jane Nicholson ,Eliza Jane Nicholson,Delta Shipbuilding Co,Tanker
1943-11-17,60.0,Scrapped 1960,1067,1943-09-18,1943-11-05,Charles C Jones,Charles C. Jones,Southeastern Shipbuilding Corp,Cargo
1943-11-17,53.0,"To U.S. Navy as Phobos (AK-129), scrapped 1970",1961,1943-09-25,1943-11-06,Phobos,Joseph H. Kibbey,Todd Houston Shipbuilding Corp,Cargo
1943-11-17,36.0,"Sold private 1947, scrapped 1968",1820,1943-10-12,1943-11-09,Samflora,Samflora,Bethlehem-Fairfield Shipyards,Cargo
1943-11-18,27.0,Scrapped 1968,2185,1943-10-22,1943-11-10,Francisco M Quinones,Francisco M. Quiñones,Permanente Metals Co Yard,Cargo
1943-11-18,55.0,"To U.S. Navy as Armadillo (IX-111), sold private 1948, scrapped 1972",1900,1943-09-24,1943-10-26,Armadillo ,Sidney Howard,California Shipbuilding Corp,Tanker
1943-11-18,29.0,Scrapped 1967,2522,1943-10-20,1943-11-08,Jane G Swisshelm,Jane G. Swisshelm,Oregon Shipbuilding Corp,Cargo
1943-11-19,35.0,"Sold private 1947, wrecked and scrapped 1971",2119,1943-10-15,1943-11-11,Harry Leon Wilson,Harry Leon Wilson,Permanente Metals Co Yard,Cargo
1943-11-19,34.0,"Sold private 1947, scrapped 1968",1822,1943-10-16,1943-11-12,John La Farge,John LaFarge,Bethlehem-Fairfield Shipyards,Cargo
1943-11-19,67.0,"To U.S. Navy as Alkaid (AK-114), scrapped 1964",1211,1943-09-13,1943-11-08,Alkaid,William G. Sumner,St Johns River Shipbuilding Co,Cargo
1943-11-20,29.0,Scrapped 1973,2523,1943-10-22,1943-11-10,Henry T Rainey,Henry T. Rainey,Oregon Shipbuilding Corp,Cargo
1943-11-20,36.0,"Sold private 1947, scrapped 1967",1821,1943-10-15,1943-11-13,Sambuff,Sambuff,Bethlehem-Fairfield Shipyards,Cargo
1943-11-20,26.0,Scrapped 1967,2186,1943-10-25,1943-11-12,Ferdinand Westdahl,Ferdinand Westdahl,Permanente Metals Co Yard,Cargo
1943-11-20,83.0,"Wrecked in the Hebrides 1943, declared total loss, scrapped",1503,1943-08-29,1943-11-09,Frederick Bartholdi,Frédéric Bartholdi,J A Jones Construction Co (Brunswick),Cargo
1943-11-20,54.0,"To U.S. Navy as Beagle (IX-112), sold private 1948, scrapped 1964",1901,1943-09-27,1943-10-29,Beagle ,David Rittenhouse,California Shipbuilding Corp,Tanker
1943-11-20,66.0,"Sold private 1947, scrapped 1968",2197,1943-09-15,1943-11-05,Samrich,William Pitt Preble,New England Shipbuilding Corp,Cargo
1943-11-20,52.0,Scrapped 1958,1962,1943-09-29,1943-11-10,Oscar Chappell,Oscar Chappell,Todd Houston Shipbuilding Corp,Cargo
1943-11-21,26.0,"Sold private 1947, scrapped 1968",2187,1943-10-26,1943-11-13,William F Empey,William F. Empey,Permanente Metals Co Yard,Cargo
1943-11-22,36.0,"Sold private 1947, scrapped 1969",1823,1943-10-17,1943-11-14,Samburgh,Samburgh,Bethlehem-Fairfield Shipyards,Cargo
1943-11-22,98.0,"Sold private 1947, scrapped 1970",1918,1943-08-16,1943-10-04,Oscar S Straus ,Oscar S. Straus,Delta Shipbuilding Co,Tanker
1943-11-22,81.0,"Sold private 1949, scrapped 1965",1919,1943-09-02,1943-10-15,Thomas F Cunningham,Thomas F. Cunningham,Delta Shipbuilding Co,Tanker
1943-11-22,30.0,Scrapped 1959,2524,1943-10-23,1943-11-12,Thomas Crawford,Thomas Crawford,Oregon Shipbuilding Corp,Cargo
1943-11-22,53.0,"To U.S. Navy as Camel (IX-113), sold private 1948, scrapped 1963",1902,1943-09-30,1943-10-31,Camel ,William H. Carruth,California Shipbuilding Corp,Tanker
1943-11-23,37.0,"Sold private 1947, scrapped 1975",1824,1943-10-17,1943-11-15,Samcleve,Samcleve,Bethlehem-Fairfield Shipyards,Cargo
1943-11-23,126.0,Scrapped 1972,1534,1943-07-20,1943-10-17,Mary Ball,Mary Ball,J A Jones Construction Co (Panama City),Cargo
1943-11-23,27.0,Scrapped 1967,2287,1943-10-27,1943-11-15,John L Stoddard,John L. Stoddard,Permanente Metals Co Yard,Cargo
1943-11-23,57.0,Scrapped 1960,1068,1943-09-27,1943-11-11,Florence Martus,Florence Martus,Southeastern Shipbuilding Corp,Cargo
1943-11-23,36.0,Scrapped 1971,2120,1943-10-18,1943-11-13,John W Meldrum,John W. Meldrum,Permanente Metals Co Yard,Cargo
1943-11-24,54.0,"Sold private 1947, scrapped 1966",2192,1943-10-01,1943-11-13,Mary Wilkins Freeman,Mary Wilkins Freeman,New England Shipbuilding Corp,Cargo
1943-11-24,28.0,Scrapped 1958,2526,1943-10-27,1943-11-15,Richard J Oglesby,Richard J. Oglesby,Oregon Shipbuilding Corp,Cargo
1943-11-24,30.0,"Sold private 1947, scrapped 1969",2525,1943-10-25,1943-11-13,George P McKay,George P. McKay,Oregon Shipbuilding Corp,Cargo
1943-11-25,51.0,"To U.S. Navy as Caribou (IX-114), sold private 1948, wrecked 1952, repaired, scrapped 1962",1903,1943-10-05,1943-11-02,Caribou ,Nathaniel B. Palmer,California Shipbuilding Corp,Tanker
1943-11-25,51.0,"To U.S. Navy as Alderamin (AK-116), scrapped 1965",1963,1943-10-05,1943-11-13,Alderamin,J. S. Cullinan,Todd Houston Shipbuilding Corp,Cargo
1943-11-25,37.0,"Sold private 1947, scrapped 1969",1826,1943-10-19,1943-11-16,James Carroll,Samgara,Bethlehem-Fairfield Shipyards,Cargo
1943-11-25,27.0,"Sold private 1947, scrapped 1967",2288,1943-10-29,1943-11-16,Frank H Dodd,Frank H. Dodd,Permanente Metals Co Yard,Cargo
1943-11-26,35.0,Scrapped 1966,2121,1943-10-22,1943-11-16,Clyde L Seavey,Clyde L. Seavey,Permanente Metals Co Yard,Cargo
1943-11-26,39.0,"Mined off Normandy 1944, repaired, scrapped 1962",1825,1943-10-18,1943-11-18,Francis C Harrington,Francis C. Harrington,Bethlehem-Fairfield Shipyards,Cargo
1943-11-26,48.0,"To U.S. Navy as Elk (IX-115), sold private 1948, wrecked 1960, scrapped 1968",1904,1943-10-09,1943-11-06,Elk ,William Winter,California Shipbuilding Corp,Tanker
1943-11-26,81.0,Scrapped 1961,1504,1943-09-06,1943-11-16,John B Gordon,John B. Gordon,J A Jones Construction Co (Brunswick),Cargo
1943-11-26,27.0,"Sold private 1947, scrapped 1963",2289,1943-10-30,1943-11-18,Mary Walker,Mary Walker,Permanente Metals Co Yard,Cargo
1943-11-27,51.0,"To U.S. Navy as Zaurak (AK-117), scrapped 1963",1964,1943-10-07,1943-11-18,Zaurak,Hugh Young,Todd Houston Shipbuilding Corp,Cargo
1943-11-27,61.0,"To U.S. Navy as Crux (AK-115), scrapped 1962",1212,1943-09-27,1943-11-16,Crux,Peter Stuyvesant,St Johns River Shipbuilding Co,Cargo
1943-11-28,28.0,"Sold private 1947, sunk 1966",2290,1943-10-31,1943-11-19,J Maurice Thompson,J. Maurice Thompson,Permanente Metals Co Yard,Cargo
1943-11-28,30.0,Scrapped 1965,2527,1943-10-29,1943-11-17,John Ball,John Ball,Oregon Shipbuilding Corp,Cargo
1943-11-29,27.0,Scrapped 1960,2291,1943-11-02,1943-11-21,Walter Williams,Walter Williams,Permanente Metals Co Yard,Cargo
1943-11-29,35.0,Scrapped 1965,2122,1943-10-25,1943-11-19,William A Coulter,William A. Coulter,Permanente Metals Co Yard,Cargo
1943-11-29,49.0,"To U.S. Navy as Gazelle (IX-116), sold private 1948, scrapped 1966",1905,1943-10-11,1943-11-09,Gazelle ,Cyrus K. Holliday,California Shipbuilding Corp,Tanker
1943-11-29,37.0,"Sold private 1947, wrecked and scrapped 1961",1828,1943-10-23,1943-11-20,Samfield,Samfield,Bethlehem-Fairfield Shipyards,Cargo
1943-11-29,31.0,"To U.S. Navy as Culebra Island (ARG-7), scrapped 1974",1830,1943-10-29,1943-11-23,Culebra Island,John F. Goucher,Bethlehem-Fairfield Shipyards,Cargo
1943-11-29,39.0,"Sold private 1947, scrapped 1964",1827,1943-10-21,1943-11-19,Barbara Frietchie,Barbara Frietchie,Bethlehem-Fairfield Shipyards,Cargo
1943-11-30,59.0,Scrapped 1967,1069,1943-10-02,1943-11-17,Charles H Herty,Charles H. Herty,Southeastern Shipbuilding Corp,Cargo
1943-11-30,36.0,"Sold private 1947, scrapped 1969",1829,1943-10-25,1943-11-21,Leo J Duster,Leo J. Duster,Bethlehem-Fairfield Shipyards,Cargo
1943-11-30,29.0,"Sold private 1947, scrapped 1968",1832,1943-11-01,1943-11-24,Samboston,Willis J. Abbot,Bethlehem-Fairfield Shipyards,Cargo
1943-11-30,26.0,"Kamikazied off Okinawa 1945, repaired, sold private 1947, scrapped 1968",2292,1943-11-04,1943-11-22,Mary A Livermore,Mary A. Livermore,Permanente Metals Co Yard,Cargo
1943-11-30,70.0,"Sold private 1947, wrecked 1963, TL",1505,1943-09-21,1943-11-23,Edward P Alexander,Edward P. Alexander,J A Jones Construction Co (Brunswick),Cargo
1943-11-30,88.0,"Sold private 1947, scrapped 1960",1921,1943-09-03,1943-10-18,Albert G Brown ,Albert G. Brown,Delta Shipbuilding Co,Tanker
1943-11-30,25.0,Scrapped 1972,2701,1943-11-05,1943-11-24,Seaman A Knapp,Seaman A. Knapp,Permanente Metals Co Yard,Cargo
1943-11-30,55.0,Scrapped 1967,2195,1943-10-06,1943-11-21,J Willard Gibbs,J. Willard Gibbs,New England Shipbuilding Corp,Cargo
1943-11-30,50.0,Scrapped 1962,2199,1943-10-11,1943-11-24,Samtrent,Percy D. Haughton,New England Shipbuilding Corp,Cargo
1943-11-30,111.0,Scrapped 1972,1535,1943-08-11,1943-10-23,John Barton Payne,John Barton Payne,J A Jones Construction Co (Panama City),Cargo
1943-11-30,49.0,Scrapped 1966,1965,1943-10-12,1943-11-20,Matthew J O'Brien,Matthew J. O'Brien,Todd Houston Shipbuilding Corp,Cargo
1943-12-01,32.0,"Sold private 1947, wrecked and scrapped 1947",2528,1943-10-30,1943-11-19,Segundo Ruiz Belvis,Segundo Ruiz Belvis,Oregon Shipbuilding Corp,Cargo
1943-12-01,44.0,"Sold private 1947, scrapped 1973",1910,1943-10-18,1943-11-11,Ralph A Cram,Ralph A. Cram,California Shipbuilding Corp,Cargo
1943-12-03,32.0,Scrapped 1962,2529,1943-11-01,1943-11-20,Frank B Linderman,Frank B. Linderman,Oregon Shipbuilding Corp,Cargo
1943-12-03,33.0,Scrapped 1961,1831,1943-10-31,1943-11-25,James C Cameron,James C. Cameron,Bethlehem-Fairfield Shipyards,Cargo
1943-12-03,51.0,"To U.S. Navy as Gemsbok (IX-117), sold private 1948, scrapped 1967",1906,1943-10-13,1943-11-09,Gemsbok  ,Carl R. Gray,California Shipbuilding Corp,Tanker
1943-12-04,61.0,"To U.S. Navy as Shaula (AK-118), sold private 1947, scrapped 1969",1213,1943-10-04,1943-11-23,Shaula,James Screven,St Johns River Shipbuilding Co,Cargo
1943-12-04,27.0,"Sold private 1947, scrapped 1967",2702,1943-11-07,1943-11-26,James Rolph,James Rolph,Permanente Metals Co Yard,Cargo
1943-12-04,35.0,"Sold private 1947, scrapped 1967",2123,1943-10-30,1943-11-23,Louis Pasteur,Louis Pasteur,Permanente Metals Co Yard,Cargo
1943-12-05,32.0,"Sold private 1947, scrapped 1967",2530,1943-11-03,1943-11-22,John B Kendrick,John B. Kendrick,Oregon Shipbuilding Corp,Cargo
1943-12-05,47.0,"Sold private 1947, scrapped 1968",1911,1943-10-19,1943-11-13,John A Roebling,John A. Roebling,California Shipbuilding Corp,Cargo
1943-12-06,56.0,"Sold private 1947, scrapped 1969",2200,1943-10-11,1943-11-24,Robert R Randall,Robert R. Randall,New England Shipbuilding Corp,Cargo
1943-12-06,104.0,Scrapped 1972,1536,1943-08-24,1943-10-30,Frederic C Howe,Frederic C. Howe,J A Jones Construction Co (Panama City),Cargo
1943-12-06,31.0,Scrapped 1969,1833,1943-11-05,1943-11-26,Hugh M Smith,Hugh M. Smith,Bethlehem-Fairfield Shipyards,Cargo
1943-12-07,55.0,Scrapped 1970,1070,1943-10-13,1943-11-25,John E Ward,John E. Ward,Southeastern Shipbuilding Corp,Cargo
1943-12-07,32.0,Sold private 1968 and converted to a crane barge,2531,1943-11-05,1943-11-24,Simeon G Reed,Simeon G. Reed,Oregon Shipbuilding Corp,Cargo
1943-12-07,26.0,Scrapped 1958,2704,1943-11-11,1943-11-29,Albert A Robinson,Albert A. Robinson,Permanente Metals Co Yard,Cargo
1943-12-07,47.0,Scrapped 1972,1912,1943-10-21,1943-11-16,Orland Loomis,Orland Loomis,California Shipbuilding Corp,Cargo
1943-12-07,31.0,"Sold private 1947, scrapped",1834,1943-11-06,1943-11-29,Samtroy,Samtroy,Bethlehem-Fairfield Shipyards,Cargo
1943-12-07,27.0,Scrapped 1959,2703,1943-11-10,1943-11-27,Antonin Dvorak,Antonín Dvořák,Permanente Metals Co Yard,Cargo
1943-12-08,56.0,Scrapped 1961,2198,1943-10-13,1943-11-28,James Manning,James Manning,New England Shipbuilding Corp,Cargo
1943-12-08,29.0,Scrapped 1964,1836,1943-11-09,1943-11-30,A J Cermak ,A. J. Cermak,Bethlehem-Fairfield Shipyards,Cargo
1943-12-08,53.0,Scrapped 1964,1966,1943-10-16,1943-11-26,Henry Austin,Henry Austin,Todd Houston Shipbuilding Corp,Cargo
1943-12-08,81.0,"Sold private 1948, declared total loss 1962",1920,1943-09-18,1943-10-31,Jean Baptiste Le ,Jean Baptiste LeMoyne,Delta Shipbuilding Co,Tanker
