Name,Type,Hull_Number,Shipyard,Laid_Down,Launched,Completed,Difference,Namesake,Fate
Samzona,Cargo,2083,Oregon Shipbuilding Corp,1943-08-27,1943-09-12,1943-09-19,23.0,Victor C. Vaughan,Scrapped 1961
Albino Perez,Cargo,1879,California Shipbuilding Corp,1943-08-12,1943-09-04,1943-09-19,38.0,Albino Pérez,Scrapped 1961
Hawkins Fudske,Cargo,1783,Bethlehem-Fairfield Shipyards,1943-08-18,1943-09-11,1943-09-20,33.0,Hawkins Fudske,Scrapped 1969
Henry Lomb,Cargo,1784,Bethlehem-Fairfield Shipyards,1943-08-19,1943-09-13,1943-09-20,32.0,Henry Lomb,"Sold private 1947, in collision and beached 1952, scrapped 1955"
William S Ladd,Cargo,2084,Oregon Shipbuilding Corp,1943-08-29,1943-09-13,1943-09-20,22.0,William S. Ladd,Kamikazied off Leyte and lost 1944
Charles Devens,Cargo,2148,Permanente Metals Co Yard,1943-08-22,1943-09-13,1943-09-21,30.0,Samore,Scrapped 1959
Samtredy,Cargo,2225,California Shipbuilding Corp,1943-08-17,1943-09-08,1943-09-21,35.0,Samtredy,"Sold private 1947, scrapped 1969"
Mary Ashley Townsend ,Tanker,1735,Delta Shipbuilding Co,1943-06-03,1943-07-25,1943-09-22,111.0,Mary Ashley Townsend,"Sold private 1948, scrapped 1968"
Frederick Billings,Cargo,2085,Oregon Shipbuilding Corp,1943-09-01,1943-09-15,1943-09-22,21.0,Frederick Billings,Scrapped 1961
Chung Cheng,Cargo,2102,Permanente Metals Co Yard,1943-08-19,1943-09-13,1943-09-22,34.0,Murat Halstead,Torpedoed and lost in the Arabian Sea 1944
Louis A Sengteller,Cargo,2149,Permanente Metals Co Yard,1943-08-24,1943-09-14,1943-09-22,29.0,Louis A. Sengteller,"Sold private 1947, scrapped 1969"
Fort Orange,Cargo,817,New England Shipbuilding Corp,1943-07-24,1943-09-11,1943-09-22,60.0,Tobias Lear,"Sold private 1947, wrecked and scrapped 1967"
Samcalia,Cargo,2226,California Shipbuilding Corp,1943-08-18,1943-09-10,1943-09-23,36.0,Samcalia,"Sold private 1947, scrapped 1971"
Donald M Dickinson,Cargo,2150,Permanente Metals Co Yard,1943-08-26,1943-09-16,1943-09-23,28.0,Donald M. Dickinson,Scrapped 1965
Anthony Ravalli,Cargo,2086,Oregon Shipbuilding Corp,1943-09-01,1943-09-16,1943-09-23,22.0,Anthony Ravalli,Scrapped 1961
Patrick C Boyle,Cargo,1786,Bethlehem-Fairfield Shipyards,1943-08-22,1943-09-15,1943-09-23,32.0,Patrick C. Boyle,Scrapped 1960
George Uhler,Cargo,1785,Bethlehem-Fairfield Shipyards,1943-08-21,1943-09-16,1943-09-24,34.0,George Uhler,"Sold private 1947, burnt and scrapped 1960"
Edmund F Dickens,Cargo,2087,Oregon Shipbuilding Corp,1943-09-02,1943-09-17,1943-09-24,22.0,Edmund F. Dickens,"Mined off Manila 1945, repaired, scrapped 1947"
John F Myers,Cargo,2088,Oregon Shipbuilding Corp,1943-09-04,1943-09-19,1943-09-25,21.0,John F. Myers,"Sold private 1947, scrapped 1969"
Augustus Thomas,Cargo,2151,Permanente Metals Co Yard,1943-08-29,1943-09-17,1943-09-25,27.0,Augustus Thomas,"Damaged off Leyte by crashing bomber 1944, declared total loss, scrapped 1957"
Erastus Smith,Cargo,1950,Todd Houston Shipbuilding Corp,1943-07-19,1943-09-06,1943-09-25,68.0,Erastus Smith,"Sold private 1947, scrapped 1967"
Samida,Cargo,2227,California Shipbuilding Corp,1943-08-21,1943-09-12,1943-09-25,35.0,Samida,Torpedoed and lost in the English Channel 1945
Howell E Jackson,Cargo,1498,J A Jones Construction Co (Brunswick),1943-05-22,1943-09-06,1943-09-25,126.0,Howell E. Jackson,Scrapped 1962
Henry Wells,Cargo,2103,Permanente Metals Co Yard,1943-08-22,1943-09-17,1943-09-26,35.0,Henry Wells,"Sold private 1947, scrapped 1966"
David B Henderson,Cargo,2089,Oregon Shipbuilding Corp,1943-09-05,1943-09-20,1943-09-27,22.0,David B. Henderson,Scrapped 1962
Samneva,Cargo,2228,California Shipbuilding Corp,1943-08-23,1943-09-14,1943-09-27,35.0,Samneva,"Torpedoed in the English Channel 1944, beached, scrapped 1948"
Margaret Brent,Cargo,1787,Bethlehem-Fairfield Shipyards,1943-08-24,1943-09-18,1943-09-27,34.0,Margaret Brent,"Sold private 1947, converted to floating warehouse 1967"
Thomas Sully,Cargo,1205,St Johns River Shipbuilding Co,1943-06-16,1943-09-11,1943-09-27,103.0,Thomas Sully,"Sold private 1947, scrapped 1963"
Francis Vigo,Cargo,1789,Bethlehem-Fairfield Shipyards,1943-08-26,1943-09-19,1943-09-27,32.0,Francis Vigo,Scrapped 1962
George Sterling,Cargo,2152,Permanente Metals Co Yard,1943-08-30,1943-09-19,1943-09-27,28.0,George Sterling,Scrapped 1958
Hoke Smith,Cargo,1061,Southeastern Shipbuilding Corp,1943-07-21,1943-09-16,1943-09-27,68.0,Hoke Smith,"Sold private 1947, scrapped 1967"
Lafcadio Hearn ,Tanker,1740,Delta Shipbuilding Co,1943-06-07,1943-07-31,1943-09-28,113.0,Lafcadio Hearn,"Sold private 1948, scrapped 1969"
Park Holland,Cargo,823,New England Shipbuilding Corp,1943-07-30,1943-09-14,1943-09-28,60.0,Park Holland,Caught fire and destroyed 1947
John M Bozeman,Cargo,2090,Oregon Shipbuilding Corp,1943-09-06,1943-09-21,1943-09-28,22.0,John M. Bozeman,Scrapped 1972
Peregrine White,Cargo,824,New England Shipbuilding Corp,1943-07-30,1943-09-14,1943-09-28,60.0,Peregrine White,"Sold private 1947, scrapped 1970"
Thomas Howell,Cargo,2091,Oregon Shipbuilding Corp,1943-09-08,1943-09-22,1943-09-29,21.0,Thomas Howell,Scrapped 1964
Ben F Dixon,Cargo,1788,Bethlehem-Fairfield Shipyards,1943-08-25,1943-09-21,1943-09-29,35.0,Ben F. Dixon,"Sold private 1947, scrapped 1963"
James J O Kelly,Cargo,2104,Permanente Metals Co Yard,1943-08-26,1943-09-19,1943-09-29,34.0,James J. O'Kelly,"Sold private 1947, scrapped 1963"
William H Moody,Cargo,2153,Permanente Metals Co Yard,1943-08-31,1943-09-20,1943-09-29,29.0,William H. Moody,"Sold private 1947, scrapped 1967"
Julius Rosenwald,Cargo,1533,J A Jones Construction Co (Panama City),1943-07-07,1943-09-13,1943-09-29,84.0,Julius Rosenwald,"Sold private 1947, scrapped 1963"
Sammont,Cargo,2229,California Shipbuilding Corp,1943-08-28,1943-09-19,1943-09-30,33.0,Sammont,"Sold private 1947, wrecked 1967, scrapped 1969"
James D Doty,Cargo,2092,Oregon Shipbuilding Corp,1943-09-09,1943-09-24,1943-09-30,21.0,James D. Doty,Scrapped 1961
Edward D White,Cargo,1499,J A Jones Construction Co (Brunswick),1943-06-22,1943-09-20,1943-09-30,100.0,Edward D. White,Scrapped 1970
Albert J Berres ,Tanker,1882,California Shipbuilding Corp,1943-08-10,1943-09-13,1943-09-30,51.0,Albert J. Berres,"Sold private 1947, scrapped 1968"
Henry C Payne,Cargo,2154,Permanente Metals Co Yard,1943-09-02,1943-09-22,1943-09-30,28.0,Henry C. Payne,"Sold private 1947, scrapped 1967"
Prince L Campbell,Cargo,2093,Oregon Shipbuilding Corp,1943-09-10,1943-09-25,1943-09-30,20.0,Prince L. Campbell,Scrapped 1970
William H Todd,Cargo,818,New England Shipbuilding Corp,1943-08-02,1943-09-19,1943-09-30,59.0,William H. Todd,"Sold private 1947, scrapped 1967"
Jose Navarro,Cargo,1951,Todd Houston Shipbuilding Corp,1943-07-27,1943-09-13,1943-09-30,65.0,José Navarro,Torpedoed and lost in the Indian Ocean 1943
Samariz,Cargo,1790,Bethlehem-Fairfield Shipyards,1943-08-28,1943-09-22,1943-10-01,34.0,Samariz,"Sold private 1947, scrapped 1968"
Samouri,Cargo,2094,Oregon Shipbuilding Corp,1943-09-12,1943-09-27,1943-10-02,20.0,Samouri,Torpedoed and lost in the Gulf of Aden 1943
Adolph S Ochs,Cargo,1791,Bethlehem-Fairfield Shipyards,1943-08-30,1943-09-23,1943-10-02,33.0,Samwyo,"Sold private 1947, scrapped 1968"
George Von L Meyer,Cargo,2155,Permanente Metals Co Yard,1943-09-04,1943-09-23,1943-10-02,28.0,George von L. Meyer,Scrapped 1967
Reinhold Richter,Cargo,2105,Permanente Metals Co Yard,1943-08-29,1943-09-23,1943-10-02,34.0,Reinhold Richter,"Sold private 1947, scrapped 1970"
James D Phelan,Cargo,2156,Permanente Metals Co Yard,1943-09-06,1943-09-25,1943-10-04,28.0,James D. Phelan,"Sold private 1947, scrapped 1963"
John G Brady,Cargo,2095,Oregon Shipbuilding Corp,1943-09-13,1943-09-28,1943-10-04,21.0,John G. Brady,Scrapped 1960
Samkansa,Cargo,1792,Bethlehem-Fairfield Shipyards,1943-08-31,1943-09-25,1943-10-04,34.0,Samkansa,"Sold private 1947, scrapped 1970"
Richard J Cleveland,Tanker,1883,California Shipbuilding Corp,1943-08-11,1943-09-15,1943-10-04,54.0,Richard J. Cleveland,"Sold private 1947, scrapped 1968"
Sammex,Cargo,1793,Bethlehem-Fairfield Shipyards,1943-09-03,1943-09-26,1943-10-05,32.0,Sammex,"Sold private 1947, wrecked and scrapped 1959"
William Sharon,Cargo,2106,Permanente Metals Co Yard,1943-08-31,1943-09-25,1943-10-05,35.0,William Sharon,"Kamikazied in Surigao Straits 1944, repaired, sold private 1947, scrapped 1969"
Dwight W Morrow,Cargo,1206,St Johns River Shipbuilding Co,1943-07-05,1943-09-21,1943-10-05,92.0,Dwight W. Morrow,Scrapped 1969
Joshua A Leach,Cargo,1952,Todd Houston Shipbuilding Corp,1943-08-07,1943-09-24,1943-10-06,60.0,Joshua A. Leach,"Sold private 1947, wrecked and scrapped 1967"
Andrew Marschalk ,Tanker,1736,Delta Shipbuilding Co,1943-06-09,1943-08-07,1943-10-06,119.0,Andrew Marschalk,"Sold private 1950, scrapped 1974"
Samdak,Cargo,1794,Bethlehem-Fairfield Shipyards,1943-09-04,1943-09-27,1943-10-06,32.0,Samdak,"Sold private 1947, scrapped 1973"
Jean Nicolet,Cargo,2096,Oregon Shipbuilding Corp,1943-09-15,1943-09-29,1943-10-06,21.0,Jean Nicolet,Torpedoed and lost off the Maldives 1944
Paul Chandler,Cargo,2230,California Shipbuilding Corp,1943-08-31,1943-09-24,1943-10-07,37.0,Paul Chandler,"Sold private 1947, scrapped 1971"
Frank Norris,Cargo,2158,Permanente Metals Co Yard,1943-09-09,1943-09-29,1943-10-07,28.0,Frank Norris,Scrapped 1971
Horace Bushnell,Cargo,1795,Bethlehem-Fairfield Shipyards,1943-09-05,1943-09-28,1943-10-07,32.0,Horace Bushnell,"Torpedoed off Kilden Light 1945, repaired and rebuilt as fish carrier, scrapped 1978"
Otto Mears,Cargo,2157,Permanente Metals Co Yard,1943-09-08,1943-09-26,1943-10-07,29.0,Otto Mears,"Sold private 1947, wrecked and scrapped 1967"
William Black Yates,Cargo,1062,Southeastern Shipbuilding Corp,1943-07-26,1943-09-27,1943-10-07,73.0,William Black Yates,Scrapped 1970
Samark,Cargo,2107,Permanente Metals Co Yard,1943-09-06,1943-09-30,1943-10-08,32.0,John G. North,"Sold private 1947, scrapped 1960"
W B Ayer,Cargo,2097,Oregon Shipbuilding Corp,1943-09-16,1943-09-30,1943-10-08,22.0,W. B. Ayer,"Sold private 1947, scrapped 1971"
Josiah G Holland,Tanker,1884,California Shipbuilding Corp,1943-08-14,1943-09-17,1943-10-08,55.0,Josiah G. Holland,"Sold private 1947, grounded on Great Sitkin Island 1965"
Jacob Thompson ,Tanker,1738,Delta Shipbuilding Co,1943-06-07,1943-08-05,1943-10-08,123.0,Jacob Thompson,"Sold private 1950, scrapped 1968"
Joyce Kilmer,Cargo,1796,Bethlehem-Fairfield Shipyards,1943-09-07,1943-10-01,1943-10-09,32.0,Joyce Kilmer,Scrapped 1968
Francis M Smith,Cargo,2159,Permanente Metals Co Yard,1943-09-11,1943-09-30,1943-10-09,28.0,Francis M. Smith,Scrapped 1962
Charles Nordhoff,Cargo,2098,Oregon Shipbuilding Corp,1943-09-17,1943-10-02,1943-10-10,23.0,Charles Nordhoff,Scrapped 1970
W R Grace,Cargo,1797,Bethlehem-Fairfield Shipyards,1943-09-09,1943-10-04,1943-10-11,32.0,W. R. Grace,Scrapped 1966
Oscar F Barrett,Tanker,1885,California Shipbuilding Corp,1943-08-16,1943-09-18,1943-10-11,56.0,Oscar F. Barrett,"Sold private 1947, scrapped 1971"
Frank A Munsey,Cargo,2160,Permanente Metals Co Yard,1943-09-13,1943-10-02,1943-10-11,28.0,Frank A. Munsey,Scrapped 1972
John N Robins,Cargo,819,New England Shipbuilding Corp,1943-08-09,1943-09-30,1943-10-11,63.0,John N. Robins,"Sold private 1947, scrapped 1964"
Simon Bamberger,Cargo,2108,Permanente Metals Co Yard,1943-09-09,1943-10-03,1943-10-12,33.0,Simon Bamberger,"Sold private 1947, scrapped 1970"
William L Sublette,Cargo,2245,Oregon Shipbuilding Corp,1943-09-19,1943-10-04,1943-10-12,23.0,William L. Sublette,"Sold private 1947, scrapped 1966"
Frederic A Eilers,Cargo,2161,Permanente Metals Co Yard,1943-09-15,1943-10-03,1943-10-12,27.0,Frederic A. Eilers,"Sold private 1947, scrapped 1965"
Harvey C Miller,Cargo,1953,Todd Houston Shipbuilding Corp,1943-08-11,1943-09-28,1943-10-12,62.0,Harvey C. Miller,Scrapped 1960
Samuta,Cargo,1798,Bethlehem-Fairfield Shipyards,1943-09-11,1943-10-03,1943-10-12,31.0,Samuta,"Sold private 1947, wrecked and abandoned 1953"
Samota,Cargo,1800,Bethlehem-Fairfield Shipyards,1943-09-13,1943-10-06,1943-10-13,30.0,Samota,"Sold private 1947, scrapped 1971"
William S Clark,Cargo,2162,Permanente Metals Co Yard,1943-09-16,1943-10-05,1943-10-14,28.0,William S. Clark,"Sold private 1947, scrapped 1965"
James H Couper,Cargo,1063,Southeastern Shipbuilding Corp,1943-08-07,1943-10-01,1943-10-14,68.0,James H. Couper,Scrapped 1965
William H Ashley,Cargo,2246,Oregon Shipbuilding Corp,1943-09-20,1943-10-06,1943-10-14,24.0,William H. Ashley,"To U.S. Navy 1956 as YAG, scrapped 1972"
Dolly Madison,Cargo,1530,J A Jones Construction Co (Panama City),1943-05-20,1943-09-27,1943-10-14,147.0,Variant spelling of Dolley Madison,"Sold private 1947, sunk 1964"
James Cook,Tanker,1886,California Shipbuilding Corp,1943-08-18,1943-09-21,1943-10-14,57.0,James Cook,"Sold private 1947, wrecked and scrapped 1967"
Samwis,Cargo,1801,Bethlehem-Fairfield Shipyards,1943-09-15,1943-10-08,1943-10-15,30.0,Samwis,"Sold private 1947, scrapped 1968"
John Fairfield,Cargo,827,New England Shipbuilding Corp,1943-08-13,1943-10-10,1943-10-15,63.0,John Fairfield,Scrapped 1968
Thomas Clyde,Cargo,822,New England Shipbuilding Corp,1943-08-16,1943-10-05,1943-10-15,60.0,Thomas Clyde,"Sold private 1947, wrecked and scrapped 1963"
George W Lively,Cargo,1954,Todd Houston Shipbuilding Corp,1943-08-16,1943-10-04,1943-10-15,60.0,George W. Lively,Scrapped 1966
Cyrus T Brady,Cargo,2109,Permanente Metals Co Yard,1943-09-13,1943-10-05,1943-10-15,32.0,Cyrus Townsend Brady,Scrapped 1971
Samuel W Williston,Cargo,2163,Permanente Metals Co Yard,1943-09-17,1943-10-06,1943-10-15,28.0,Samuel W. Williston,"Sold private 1947, scrapped 1967"
John S Mosby,Cargo,1207,St Johns River Shipbuilding Co,1943-07-22,1943-10-03,1943-10-16,86.0,John S. Mosby,Scrapped 1971
David Holmes ,Tanker,1741,Delta Shipbuilding Co,1943-06-17,1943-08-14,1943-10-16,121.0,David Holmes,"Sold private 1949, scrapped 1967"
W W McCrackin,Cargo,2247,Oregon Shipbuilding Corp,1943-09-21,1943-10-08,1943-10-16,25.0,W. W. McCrackin,"Sold private 1947, sunk 1962"
Francis N Blanchet,Cargo,2248,Oregon Shipbuilding Corp,1943-09-22,1943-10-09,1943-10-17,25.0,Francis Norbert Blanchet,Scrapped 1961
Christopher L Sholes ,Tanker,1887,California Shipbuilding Corp,1943-08-27,1943-09-27,1943-10-17,51.0,Christopher L. Sholes,"Sold private 1947, scrapped 1966"
Samuta,Cargo,1799,Bethlehem-Fairfield Shipyards,1943-09-12,1943-10-10,1943-10-18,36.0,Samnebra,"Sold private 1947, scrapped 1963"
Viggo Hansteen,Cargo,1803,Bethlehem-Fairfield Shipyards,1943-09-18,1943-10-11,1943-10-18,30.0,George M. Shriver,"Sold private 1947, wrecked and abandoned 1963"
Edgar W Nye,Cargo,2164,Permanente Metals Co Yard,1943-09-19,1943-10-08,1943-10-18,29.0,Edgar W. Nye,Scrapped 1962
Samnesse,Cargo,1802,Bethlehem-Fairfield Shipyards,1943-09-16,1943-10-09,1943-10-18,32.0,Simon B. Elliott,"Sold private 1947, wrecked and sunk 1966"
Frank C Emerson,Cargo,2165,Permanente Metals Co Yard,1943-09-20,1943-10-09,1943-10-18,28.0,Frank C. Emerson,Scrapped 1970
Horace H Lurton,Cargo,1500,J A Jones Construction Co (Brunswick),1943-07-12,1943-10-07,1943-10-19,99.0,Horace H. Lurton,"Sold private 1947, scrapped 1968"
Charles F Amidon,Cargo,2249,Oregon Shipbuilding Corp,1943-09-24,1943-10-11,1943-10-19,25.0,Charles F. Amidon,Scrapped 1961
Thomas W Gregory,Cargo,1955,Todd Houston Shipbuilding Corp,1943-08-20,1943-10-06,1943-10-19,60.0,Thomas W. Gregory,"Sold private 1947, wrecked and scrapped 1969"
Samuel Brannon,Cargo,2110,Permanente Metals Co Yard,1943-09-17,1943-10-09,1943-10-19,32.0,Samuel Brannon,Scrapped 1959
Reginald A Fessenden,Tanker,1745,Delta Shipbuilding Co,1943-07-08,1943-08-26,1943-10-20,104.0,Reginald A. Fessenden,"Sold private 1948, declared total loss 1964"
Sumner I Kimball,Cargo,2188,New England Shipbuilding Corp,1943-08-13,1943-10-10,1943-10-21,69.0,Sumner I. Kimball,Torpedoed and lost in the North Atlantic 1944
Chief Charlot,Cargo,2111,Permanente Metals Co Yard,1943-09-19,1943-10-12,1943-10-21,32.0,Chief Charlot,Scrapped 1958
Orson D Munn,Tanker,1888,California Shipbuilding Corp,1943-08-30,1943-09-30,1943-10-21,52.0,Orson Desaix Munn,"Sold private 1947, wrecked and scrapped 1964"
Stage Door Canteen,Cargo,1804,Bethlehem-Fairfield Shipyards,1943-09-19,1943-10-12,1943-10-21,32.0,Stage Door Canteen,"Sold private 1947, scrapped 1961"
John W Foster,Cargo,2166,Permanente Metals Co Yard,1943-09-23,1943-10-11,1943-10-21,28.0,John W. Foster,Scrapped 1971
Joseph M Carey,Cargo,2250,Oregon Shipbuilding Corp,1943-09-25,1943-10-13,1943-10-21,26.0,Joseph M. Carey,Scrapped 1972
Norman Hapgood,Cargo,2167,Permanente Metals Co Yard,1943-09-24,1943-10-13,1943-10-21,27.0,Norman Hapgood,"Sold private 1947, scrapped 1973"
Bernardo O'Higgins,Cargo,2168,Permanente Metals Co Yard,1943-09-26,1943-10-14,1943-10-23,27.0,Bernardo O'Higgins,Scrapped 1959
Enoch Train,Cargo,825,New England Shipbuilding Corp,1943-08-23,1943-10-12,1943-10-23,61.0,Enoch Train,Scrapped 1966
Watson C Squire,Cargo,2251,Oregon Shipbuilding Corp,1943-09-27,1943-10-15,1943-10-23,26.0,Watson C. Squire,Scrapped 1961
Norman E Mack,Cargo,2169,Permanente Metals Co Yard,1943-09-26,1943-10-16,1943-10-24,28.0,Norman E. Mack,Scrapped 1971
Casper S Yost,Cargo,2112,Permanente Metals Co Yard,1943-09-23,1943-10-15,1943-10-24,31.0,Casper Yost,"Sold private 1947, scrapped 1972"
Stephen G Porter,Cargo,2252,Oregon Shipbuilding Corp,1943-09-28,1943-10-16,1943-10-24,26.0,Stephen G. Porter,Scrapped 1961
William E Pendleton ,Tanker,1742,Delta Shipbuilding Co,1943-07-11,1943-09-01,1943-10-25,106.0,William E. Pendleton,"Sold private 1948, CTL 1969"
"Lewis Emery, Jr",Cargo,1806,Bethlehem-Fairfield Shipyards,1943-09-22,1943-10-15,1943-10-25,33.0,"Lewis Emery, Jr.","Sold private 1947, scrapped 1968"
Harriet Hosmer,Cargo,1528,J A Jones Construction Co (Panama City),1943-04-23,1943-09-30,1943-10-25,185.0,Harriet Hosmer,"To U.S. Navy as Luna (AKS-7), scrapped 1965"
Will R Wood,Cargo,1956,Todd Houston Shipbuilding Corp,1943-08-23,1943-10-11,1943-10-25,63.0,Will R. Wood,Scrapped 1961
Harold L Winslow,Cargo,1807,Bethlehem-Fairfield Shipyards,1943-09-23,1943-10-16,1943-10-25,32.0,Harold L. Winslow,"Sold private 1964, converted to floating warehouse in Nikishka AK"
Alan Seeger ,Tanker,1889,California Shipbuilding Corp,1943-09-04,1943-10-05,1943-10-26,52.0,Alan Seeger,"Sold private 1947, collided with USS Von Steuben (SSBN-632) 1968, sunk"
Robert L Vann,Cargo,2189,New England Shipbuilding Corp,1943-08-14,1943-10-10,1943-10-26,73.0,Robert L. Vann,Mined and lost off Ostend 1945
Joseph Habersham,Cargo,1064,Southeastern Shipbuilding Corp,1943-08-20,1943-10-12,1943-10-26,67.0,Joseph Habersham,Scrapped 1961
Grant Wood,Cargo,1208,St Johns River Shipbuilding Co,1943-08-06,1943-10-14,1943-10-26,81.0,Grant Wood,"Sold private 1947, scrapped 1970"
William J Palmer,Cargo,2113,Permanente Metals Co Yard,1943-09-25,1943-10-18,1943-10-26,31.0,William J. Palmer,"Mined in Trieste 1945, refloated and scrapped 1949"
Abbot L Mills,Cargo,2253,Oregon Shipbuilding Corp,1943-09-29,1943-10-18,1943-10-26,27.0,Abbott L. Mills,"Mined off Dubrovnik 1945, repaired, sold private 1949, scrapped 1971"
Samsylvan,Cargo,1808,Bethlehem-Fairfield Shipyards,1943-09-25,1943-10-17,1943-10-27,32.0,Samsylvan,"Sold private 1947, wrecked and scrapped 1960"
Henry H Blood,Cargo,2170,Permanente Metals Co Yard,1943-09-29,1943-10-17,1943-10-27,28.0,Henry H. Blood,Scrapped 1961
Samokla,Cargo,1812,Bethlehem-Fairfield Shipyards,1943-10-01,1943-10-23,1943-10-27,26.0,Samokla,Scrapped 1962
Cebu,Cargo,1805,Bethlehem-Fairfield Shipyards,1943-09-21,1943-10-18,1943-10-27,36.0,Francis P. Duffy,"To U.S. Navy as Cebu (ARG-6), scrapped 1973"
Horace See,Tanker,1890,California Shipbuilding Corp,1943-09-08,1943-10-09,1943-10-27,49.0,Horace See,"Sold private 1947, scrapped 1972"
Albert A Michelson,Cargo,2254,Oregon Shipbuilding Corp,1943-09-30,1943-10-20,1943-10-28,28.0,Albert A. Michelson,"Sold private 1947, wrecked and scrapped 1966"
Samvern,Cargo,1809,Bethlehem-Fairfield Shipyards,1943-09-26,1943-10-17,1943-10-28,32.0,Samvern,Mined and lost in the Schelde Estuary 1945
William M Rayburn,Cargo,1957,Todd Houston Shipbuilding Corp,1943-08-27,1943-10-15,1943-10-28,62.0,William M. Rayburn,Scrapped 1966
John Swett,Cargo,2171,Permanente Metals Co Yard,1943-09-30,1943-10-19,1943-10-28,28.0,John Swett,Scrapped 1965
Vernon L Parrington,Cargo,2172,Permanente Metals Co Yard,1943-10-02,1943-10-21,1943-10-29,27.0,Vernon L. Parrington,"Sold private 1947, wrecked and scrapped 1962"
Edmund G Ross,Cargo,2255,Oregon Shipbuilding Corp,1943-10-02,1943-10-22,1943-10-29,27.0,Edmund G. Ross,Scrapped 1961
Peter Cooper Hewitt,Cargo,2114,Permanente Metals Co Yard,1943-09-30,1943-10-22,1943-10-29,29.0,Peter Cooper Hewitt,"Sold private 1947, scrapped 1967"
Carlton Ellis ,Tanker,1891,California Shipbuilding Corp,1943-09-10,1943-10-11,1943-10-29,49.0,Carleton Ellis,"Sold private 1947, scrapped 1967"
Samyork,Cargo,1810,Bethlehem-Fairfield Shipyards,1943-09-27,1943-10-19,1943-10-29,32.0,W. Walter Husband,"Sold private 1947, sunk 1965"
U S O,Cargo,1811,Bethlehem-Fairfield Shipyards,1943-09-29,1943-10-21,1943-10-30,31.0,U.S.O.,"Sold private 1947, wrecked and scrapped 1967"
Henry W Grady,Cargo,1501,J A Jones Construction Co (Brunswick),1943-07-31,1943-10-22,1943-10-30,91.0,Henry W. Grady,Scrapped 1971
Irwin Russell ,Tanker,1743,Delta Shipbuilding Co,1943-07-26,1943-09-16,1943-10-30,96.0,Irwin Russell,"Sold private 1947, scrapped 1962"
L H McNelly,Cargo,1958,Todd Houston Shipbuilding Corp,1943-09-01,1943-10-19,1943-10-30,59.0,L. H. McNelly,"Sold private 1947, sunk 1967"
George K Fitch,Cargo,2173,Permanente Metals Co Yard,1943-10-03,1943-10-22,1943-10-30,27.0,George K. Fitch,"Sold private 1947, wrecked and scrapped 1966"
Joseph H Martin,Cargo,1065,Southeastern Shipbuilding Corp,1943-08-30,1943-10-18,1943-10-30,61.0,Joseph H. Martin,Scrapped 1972
Samtucky,Cargo,826,New England Shipbuilding Corp,1943-09-01,1943-10-19,1943-10-30,59.0,William Blackstone,"Sold private 1947, scrapped 1962"
Kate Douglas Wiggin,Cargo,2175,Permanente Metals Co Yard,1943-10-06,1943-10-25,1943-10-31,25.0,Kate Douglas Wiggin,Scrapped 1961
Peter White,Cargo,2256,Oregon Shipbuilding Corp,1943-10-04,1943-10-23,1943-10-31,27.0,Peter White,"Mined off Leyte 1945, scrapped 1949"
Francis A Wardwell,Cargo,2174,Permanente Metals Co Yard,1943-10-05,1943-10-24,1943-10-31,26.0,Francis A. Wardwell,Scrapped 1971
Omar E Chapman,Cargo,2193,New England Shipbuilding Corp,1943-09-01,1943-10-21,1943-10-31,60.0,Omar E. Chapman,Scrapped 1972
Morton Prince,Tanker,1893,California Shipbuilding Corp,1943-09-13,1943-10-14,1943-10-31,48.0,Morton Prince,"Sold private 1947, scrapped 1971"
Charlotte P Gilman ,Tanker,1892,California Shipbuilding Corp,1943-09-13,1943-10-13,1943-10-31,48.0,Charlotte P. Gilman,"To Russia 1943 as Apsherson, returned 1944, later Hess Bunker, Aegeus, Andros Eagle, Evinos, Vari, Syra and Halla, scrapped 1972"
Ethan A Hitchcock,Cargo,2115,Permanente Metals Co Yard,1943-10-03,1943-10-25,1943-10-31,28.0,Ethan A. Hitchcock,Scrapped 1972
Harvey W Wiley ,Tanker,1894,California Shipbuilding Corp,1943-09-15,1943-10-15,1943-10-31,46.0,Harvey W. Wiley,"Sold private 1947, scrapped 1969"
Joseph Goldberger ,Tanker,1917,Delta Shipbuilding Co,1943-08-01,1943-09-14,1943-10-31,91.0,Joseph Goldberger,"Sold private 1948, scrapped 1969"
J Warren Keifer,Cargo,2257,Oregon Shipbuilding Corp,1943-10-06,1943-10-25,1943-11-02,27.0,J. Warren Keifer,Scrapped 1961
William H Dall,Cargo,2258,Oregon Shipbuilding Corp,1943-10-08,1943-10-27,1943-11-04,27.0,William H. Dall,"Sold private 1947, sunk 1965"
Edward M House,Cargo,1209,St Johns River Shipbuilding Co,1943-08-21,1943-10-23,1943-11-04,75.0,Edward M. House,"Torpedoed in the English Channel 1944, repaired, sold private, scrapped 1970"
Indus,Cargo,1814,Bethlehem-Fairfield Shipyards,1943-10-04,1943-10-29,1943-11-05,32.0,Theodore Roosevelt,"To U.S. Navy as Indus (AKN-1), scrapped 1967"
David Hewes,Cargo,2176,Permanente Metals Co Yard,1943-10-08,1943-10-27,1943-11-05,28.0,David Hewes,"Sold private 1947, scrapped 1969"
Samlouis,Cargo,1813,Bethlehem-Fairfield Shipyards,1943-10-03,1943-10-25,1943-11-05,33.0,Samlouis,"Sold private 1947, scrapped 1968"
